Participant,Phase,ShotNumber,SelectedTargetID,SelectedTargetPosition,CrosshairPosition,CrosshairRotation,LeftEyePosition,RightEyePosition,CombinedEyePosition,LeftEyeOpen,RightEyeOpen,XRPosition,XRRotation,Hit,Accuracy,DominantEyeForShot,LeftEyeDistanceFromRay,RightEyeDistanceFromRay,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
1,Calibration,1,Target 7,"(6.20, 2.50, 8.88)","(-0.12, 1.04, 2.05)","(355.97, 42.64, 0.75)","(-0.73, 1.02, 1.48)","(-0.68, 1.02, 1.44)","(-0.71, 1.02, 1.46)",False,True,"(-0.69, 1.02, 1.48)","(358.75, 41.65, 3.24)",True,0.3620801,Right,0.0645064,0.003402434,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Calibration,2,Target 4,"(-4.80, 2.50, 10.88)","(-1.02, 1.03, 2.12)","(358.52, 336.28, 2.81)","(-0.81, 1.01, 1.46)","(-0.75, 1.01, 1.49)","(-0.78, 1.01, 1.47)",False,True,"(-0.78, 1.01, 1.50)","(4.54, 339.18, 4.43)",True,0.08745439,Right,0.07152063,0.006236639,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Calibration,3,Target 8,"(8.20, 2.50, 5.88)","(0.08, 1.03, 1.81)","(355.03, 64.45, 359.66)","(-0.72, 1.00, 1.49)","(-0.68, 1.00, 1.43)","(-0.70, 1.00, 1.46)",False,True,"(-0.67, 1.00, 1.47)","(4.28, 61.34, 5.71)",True,0.06478094,Right,0.07308922,0.006050334,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Calibration,4,Target 4,"(-4.80, 2.50, 10.88)","(-1.03, 1.02, 2.12)","(355.04, 336.45, 3.14)","(-0.81, 1.01, 1.46)","(-0.75, 1.01, 1.49)","(-0.78, 1.01, 1.47)",False,True,"(-0.80, 0.99, 1.51)","(11.11, 338.96, 3.41)",True,0.2027725,Right,0.05875238,0.01488088,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Calibration,5,Target 9,"(8.20, 2.50, 2.14)","(0.19, 1.03, 1.49)","(353.50, 87.19, 1.75)","(-0.72, 1.00, 1.48)","(-0.70, 1.01, 1.43)","(-0.71, 1.01, 1.46)",False,True,"(-0.64, 1.00, 1.45)","(1.68, 76.43, 6.95)",True,0.1352691,Right,0.06769348,0.0151231,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Calibration,6,Target 5,"(-0.80, 2.50, 11.88)","(-0.72, 1.03, 2.19)","(356.02, 358.30, 0.60)","(-0.78, 1.01, 1.46)","(-0.71, 1.01, 1.46)","(-0.74, 1.01, 1.46)",False,True,"(-0.74, 1.00, 1.50)","(5.55, 2.95, 1.13)",True,0.1232834,Right,0.06497007,0.009448737,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Calibration,7,Target 5,"(-0.80, 2.50, 11.88)","(-0.72, 1.03, 2.20)","(355.84, 358.81, 0.93)","(-0.78, 1.01, 1.46)","(-0.71, 1.01, 1.46)","(-0.74, 1.01, 1.46)",False,True,"(-0.75, 1.00, 1.50)","(5.54, 1.95, 2.24)",True,0.1146088,Right,0.06650732,0.008816603,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Calibration,8,Target 5,"(-0.80, 2.50, 11.88)","(-0.72, 1.03, 2.20)","(356.30, 358.52, 0.77)","(-0.78, 1.01, 1.46)","(-0.71, 1.01, 1.46)","(-0.74, 1.01, 1.46)",False,True,"(-0.74, 1.00, 1.50)","(5.75, 2.15, 2.17)",True,0.1243592,Right,0.06427818,0.009581615,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Calibration,9,Target 3,"(-7.80, 2.50, 8.88)","(-1.22, 1.03, 1.94)","(355.99, 316.69, 0.29)","(-0.82, 1.01, 1.43)","(-0.78, 1.01, 1.48)","(-0.80, 1.01, 1.46)",False,True,"(-0.83, 1.00, 1.48)","(5.34, 321.53, 4.70)",True,0.145787,Right,0.05640272,0.009883094,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Calibration,10,Target 3,"(-7.80, 2.50, 8.88)","(-1.22, 1.02, 1.94)","(356.86, 316.47, 0.84)","(-0.82, 1.01, 1.43)","(-0.78, 1.01, 1.48)","(-0.80, 1.01, 1.46)",False,True,"(-0.83, 1.00, 1.48)","(5.64, 321.88, 4.42)",True,0.15067,Right,0.05859003,0.01025867,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
